abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
2pg	D-Glycerate 2-phosphate	C3H4O7P	-3	Cytosol	C00631		35542	1,10,2,3,4,5,6,7,8,9	
fdp	D-Fructose 1,6-bisphosphate	C6H10O12P2	-4	Cytosol	C00354	488-69-7	34717	1,10,2,3,4,5,6,7,8,9	
atp	ATP	C10H12N5O13P3	-4	Peroxisome, Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Nucleus, Vacuole, Mitochondria	C00002	56-65-5	33477	1,10,2,3,4,5,6,7,8,9	
acald	Acetaldehyde	C2H4O	0	Peroxisome, Extra-organism, Cytosol, Endoplasmic Reticulum, Periplasm, Mitochondria	C00084	75-07-0	33792	1,10,2,3,4,5,6,7,8,9	
asp-L	L-Aspartate	C4H6NO4	-1	Peroxisome, Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria	C00049	56-84-8	33663	1,10,2,3,4,5,6,7,9	
ala-D	D-Alanine	C3H7NO2	0	Peroxisome, Extra-organism, Cytosol, Periplasm, Lysosome	C00133	338-69-2	33977	1,10,2,3,4,5,7	
5mdr1p	5-Methylthio-5-deoxy-D-ribose 1-phosphate	C6H11O7PS	-2	Cytosol	C04188		43318	1,2,3,5,7,9	
5mta	5-Methylthioadenosine	C11H15N5O3S	0	Cytosol	C00170	2457-80-9	34127	1,10,2,3,4,5,6,7,9	
acglu	N-Acetyl-L-glutamate	C7H9NO5	-2	Cytosol, Mitochondria	C00624	1188-37-0	35520	1,10,2,4,5,6,7,9	
3c2hmp	3-Carboxy-2-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol	C04411		43761	1,10,4,5,6,7,9	
3mop	(S)-3-Methyl-2-oxopentanoate	C6H9O3	-1	Cytosol, Mitochondria	C00671		35662	1,10,2,3,4,5,6,7,9	
3c3hmp	3-Carboxy-3-hydroxy-4-methylpentanoate	C7H10O5	-2	Cytosol, Mitochondria	C02504		39972	1,10,4,5,6,7,9	
3dhq	3-Dehydroquinate	C7H9O6	-1	Cytosol	C00944		36436	1,10,3,4,5,6,7,9	
aps	Adenosine 5'-phosphosulfate	C10H12N5O10PS	-2	Cytosol	C00224		34307	1,10,2,3,4,5,6,7	
paps	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	-4	Golgi Apparatus, Cytosol	C00053	482-67-7	33679	1,10,2,3,5,6,7,9	
aspsa	L-Aspartate 4-semialdehyde	C4H7NO3	0	Cytosol	C00441	None	34990	1,10,3,4,5,6,7,9	
lys-L	L-Lysine	C6H15N2O2	1	Peroxisome, Extra-organism, Cytosol, Nucleus, Periplasm, Mitochondria	C00047	56-87-1	33655	1,10,2,3,4,5,6,7,9	
dad-2	Deoxyadenosine	C10H13N5O3	0	Extra-organism, Cytosol, Periplasm, Lysosome	C00559	958-09-8	35352	1,10,2,3,4,5,6,7	
ins	Inosine	C10H12N4O5	0	Extra-organism, Cytosol, Periplasm, Mitochondria, Lysosome	C00294	58-63-9	34525	1,10,2,3,4,5,6	
dgdp	dGDP	C10H12N5O10P2	-3	Cytosol, Nucleus, Mitochondria	C00361		34741	1,10,2,3,4,5,6,7,9	
dttp	dTTP	C10H13N2O14P3	-4	Extra-organism, Cytosol, Nucleus, Mitochondria	C00459		35032	1,10,2,3,4,5,6,7,9	
dgtp	dGTP	C10H12N5O13P3	-4	Cytosol, Nucleus, Mitochondria	C00286	2564-35-4	34502	1,10,2,3,4,5,6,7,9	
din	Deoxyinosine	C10H12N4O4	0	Extra-organism, Cytosol, Periplasm	C05512	890-38-0	45942	1,10,2,3,4,5,6	
5pmev	(R)-5-Phosphomevalonate	C6H10O7P	-3	Peroxisome, Cytosol	C01107		36819	2,6,7,9	
4ampm	4-Amino-2-methyl-5-phosphomethylpyrimidine	C6H8N3O4P	-2	Cytosol	C04556		44041	1,10,3,4,5,6,7,9	
2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C6H8N3O7P2	-3	Cytosol	C04752	745-65-3	44484	1,10,3,4,5,6,7,9	
dpcoa	Dephospho-CoA	C21H33N7O13P2S	-2	Cytosol, Mitochondria, Lysosome	C00882		36283	1,10,2,3,4,5,6,7,9	
23dhb	2,3-Dihydroxybenzoate	C7H5O4	-1	Cytosol	C00196	303-38-8	34227	1,5	
ru5p-L	L-Ribulose 5-phosphate	C5H9O8P	-2	Cytosol	C01101		36809	1,10,5,7	
tre	Trehalose	C12H22O11	0	Extra-organism, Cytosol, Vacuole, Periplasm	C01083	99-20-7	36774	1,10,2,5,6,7	
fru	D-Fructose	C6H12O6	0	Extra-organism, Cytosol, Periplasm	C00095	57-48-7	33835	1,2,4,5,6,7,8,9	
udcpp	Undecaprenyl phosphate	C55H89O4P	-2	Cytosol, Periplasm	C00348		34696	1,10,3,4,5,7	
ugmda	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C41H61N9O28P2	-4	Cytosol	C04882		44801	1,10,3,4,5,7	
uagmda	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	Cytosol	C05897		46787	1,10,3,4,5,7	
glu-D	D-Glutamate	C5H8NO4	-1	Cytosol	C00217	6893-26-1	34285	1,10,3,4,5,7	
hemeO	Heme O	C49H56FeN4O5	-2	Cytosol	C15672		227628	1,4,5,7	
leutrna	L-Leucyl-tRNA(Leu)	C6H12NOR	1	Cytosol, Mitochondria	C02047		52740	4,5,6,9	
trnacys	tRNA(Cys)	R	0	Cytosol	C01639		38060	4,5,6,7,9	
histrna	L-Histidyl-tRNA(His)	C6H8N3OR	1	Cytosol, Mitochondria	C02988		52781	4,5,6,9	
metsox-S-L	L-Methionine Sulfoxide	C5H11NO3S	0	Extra-organism, Cytosol, Periplasm	C02989		40964	10,5	
ppp9	Protoporphyrin	C34H32N4O4	-2	Cytosol, Mitochondria	C02191	553-12-8	39293	1,10,2,3,4,5,6,7,9	
fcl-L	L-fuculose	C6H12O5	0	Cytosol	C01721		132120	1,5	
itp	ITP	C10H11N4O14P3	-4	Cytosol, Nucleus, Mitochondria	C00081	132-06-9	33780	1,10,2,5,6,7,9	
Lfmkynr	L-Formylkynurenine	C11H12N2O4	0	Cytosol	C02700	1022-31-7	1445551	2,6	
n4abutn	N4-Acetylaminobutanal	C6H11NO2	0	Cytosol, Mitochondria	C05936		1445987	2,6	
5aop	5-Amino-4-oxopentanoate	C5H9NO3	0	Extra-organism, Cytosol, Mitochondria	C00430	106-60-5	34963	1,10,2,3,4,5,6,7,9	
trnathr	tRNA(Thr)	R	0	Cytosol, Mitochondria	C01651		38084	4,5,6,7,9	
ttdca	tetradecanoate (n-C14:0)	C14H27O2	-1	Peroxisome, Extra-organism, Cytosol, Periplasm	C06424	544-63-8	215851	1,10,2,4,5,6,7	
ocdca	octadecanoate (n-C18:0)	C18H35O2	-1	Extra-organism, Cytosol, Periplasm	C01530	57-11-4	37799	1,10,2,5,6,7	
dcacoa	Decanoyl-CoA (n-C10:0CoA)	C31H50N7O17P3S	-4	Peroxisome, Cytosol	C05274		45478	2,4,5,6,7	
fuc-L	L-Fucose	C6H12O5	0	Extra-organism, Cytosol, Periplasm, Lysosome	C01019	2438-80-4	36636	1,2,5	
glcr	D-Glucarate	C6H8O8	-2	Extra-organism, Cytosol, Periplasm, Mitochondria	C00818	87-73-0	35926	1,2,5	
dtdp4aaddg	dTDP-4-acetamido-4,6-dideoxy-D-galactose	C18H27N3O15P2	-2	Cytosol			1483499	1,5	
g3ps	Glycerophosphoserine	C6H13NO8P	-1	Extra-organism, Cytosol, Periplasm			1484554	1,5,7	
seln	Selenide	HSe	-1	Cytosol	C01528	531-44-2	37794	1,10,2,5	
gbbtn	gamma-butyrobetaine	C7H15NO2	0	Extra-organism, Cytosol, Periplasm	C01181		1489453	1,5	
apoACP	apoprotein [acyl carrier protein]	RHO	0	Cytosol	C03688		1452673	1,10,5,7	
uaaAgtla	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine	C94H155N9O25P2	-2	Cytosol	C05890		46768	10	
btamp	Biotinyl-5'-AMP	C20H27N7O9PS	-1	Cytosol, Mitochondria	C05921		46920	10,2,3,7,9	
mg2	magnesium	Mg	2	Extra-organism, Cytosol, Periplasm	C00305		1787372	10,5,7,9	
pre6b	Precorrin 6B	C44H49N4O16	-7	Cytosol	C06319		1800230	10,4	
ppcoa	Propanoyl-CoA	C24H36N7O17P3S	-4	Peroxisome, Cytosol, Mitochondria	C00100	317-66-8	33852	1,10,2,4,5,6,9	
dolmanp_U	Dolichyl phosphate D-mannose, human uterine homolog	C1085H1780O90P10	-10	Cytosol, Endoplasmic Reticulum			1809323	2	
g2m8masn	(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)	C82H137N2O65X	0	Golgi Apparatus, Endoplasmic Reticulum			1822369	2	
g1m7masnB	glucosyl-(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform B (protein)	C70H117N2O55X	0	Golgi Apparatus, Endoplasmic Reticulum			1838934	2	
minohp	myo-Inositol hexakisphosphate	C6H6O24P6	-12	Extra-organism, Cytosol, Nucleus, Periplasm	C01204		37070	2,5	
clpn_SA	Cardiolipin (Saureus)	C3270H6330O434P100	-100	Cytosol			1840546	7	
tih2cit	(-)threo-iso(homo)2citrate	C8H9O7	-3	Cytosol			1886159	9	
cholcoads	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA	C48H74N7O20P3S	-4	Peroxisome	C05460	67-97-0	45854	2	
carn	L-Carnosine	C9H14N4O3	0	Cytosol	C00386	305-84-0	1800369	2,9	
chlstol	Cholesta-7,24-dien-3beta-ol	C27H44O	0	Endoplasmic Reticulum	C05439	7488-99-5	45811	2	
11docrtsl	11-Deoxycortisol	C21H30O4	0	Cytosol, Endoplasmic Reticulum, Mitochondria	C05488	152-58-9	45914	2	
pe_hs	phosphatidylethanolamine (homo sapiens)	C5H12NO4PFULLRCO2FULLR2CO2	0	Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Mitochondria			2228931	2	
chexccoa	carboxy hexacosanoyl-CoA	C48H81N7O18P3S	-4	Cytosol			2241718	10	
mkmycolate	keto mycolate (1 cyclopropanated rings)	C86H168O4	-1	Cytosol			2241760	10	
fecrm-un	Ferrichrome minus Fe(III)	C27H42N9O12	-3	Extra-organism, Cytosol, Periplasm			2262590	5	
mem2emgacpail_hs	({[(mannosyl),(phosphoethanolaminyl)]-dimannosyl},{phosphoethanolaminyl})-mannosyl-glucosaminyl-acylphosphatidylinositol (M4B)	C59H110N3O40P3FULLRCO2FULLR2CO2	0	Endoplasmic Reticulum			2289619	2	
ksi_pre25	keratan sulfate I biosynthesis, precursor 25	C199H319N14O163S7X	-8	Golgi Apparatus			2296843	2	
cs_e_pre2	chondroitin sulfate E (GalNAc4,6diS-GlcA), precursor 2	C31H45NO37S4X	-5	Golgi Apparatus			2300739	2	
ps_hs	phosphatidylserine (homo sapiens)	C6H11NO6PFULLRCO2FULLR2CO2	-1	Extra-organism, Golgi Apparatus, Cytosol, Endoplasmic Reticulum, Mitochondria			2228948	2	
prostgf2	Prostaglandin F2alpha	C20H33O5	-1	Extra-organism, Cytosol	C00639	551-11-1	35568	2	
bildglcur	Bilirubin beta-diglucuronide	C45H50N4O18	-2	Extra-organism, Cytosol, Endoplasmic Reticulum	C05787	SE: COX	46500	2	
anhgm	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	C19H29N2O12	-1	Extra-organism, Cytosol, Periplasm			2327204	5	
1pipdn2c	delta1-Piperideine-2-carboxylate	C6H9NO2	0	Peroxisome, Cytosol	C04092	2365-40-4	43128	2,4	
phytcoa	phytanyl coa	C41H70N7O17P3S	-4	Peroxisome, Cytosol			2364522	2	
so2	sulfur dioxide	O2S	0	Extra-organism, Cytosol, Periplasm	C09306		2389303	5	
cs_a_deg4	chondroitin sulfate A (GalNAc4S-GlcA), degradation product 4	C31H49NO29S	-2	Lysosome			2415893	2	
galacglcgalgluside_hs	Lc4Cer	C44H79N2O22FULLRCO	0	Golgi Apparatus			2419325	2	
strdnccrn	stearidonyl carnitine	C25H41NO4	0	Cytosol, Mitochondria			2614432	2	
cddec5eACP	cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)	C23H41N2O8PRS	-1	Cytosol			2617009	4,5	
3ocpalm9eACP	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]	C27H47N2O9PRS	-1	Cytosol			2617020	4,5	
pg161	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)	C38H70O10P1	-1	Cytosol, Periplasm	C00344		2617854	4,5	
pe141	phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)	C33H62N1O8P1	0	Cytosol, Periplasm	C00350		2618165	5	
pa120	1,2-didodecanoyl-sn-glycerol 3-phosphate	C27H51O8P1	-2	Cytosol, Periplasm	C00416		2618936	4,5	
xdp	XDP	C10H11N4O12P2	-3	Cytosol	C01337		37387	5	
fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs	(Gal)4 (Glc)1 (GlcNAc)3 (LFuc)3 (Cer)1	C90H155N4O54FULLRCO	0	Extra-organism, Golgi Apparatus, Cytosol			2419458	2	
hcoumarin	hydroxy coumarin	C9H6O3	0	Extra-organism, Cytosol			2299830	2	
2agpe160	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)	C21H44NO7P1	0	Cytosol, Periplasm	C05973		2706656	10,5	
apg140	acyl phosphatidylglycerol (n-C14:0)	C48H92O11P	-1	Cytosol			2707888	5	
12ppd-R	(R)-Propane-1,2-diol	C3H8O2	0	Extra-organism, Cytosol, Periplasm	C02912	4254-14-2	40801	2,5	
1agpe181	1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)	C23H46NO7P1	0	Periplasm	C04438		2733811	5	
sgalside_hs	sulfatide galactocerebroside (homo sapiens)	C24H45NO10SFULLRCO	-1	Golgi Apparatus, Cytosol, Lysosome			2265466	2	
gq1b_hs	GQ1b (homo sapiens)	C88H143N6O54FULLRCO	-4	Extra-organism, Golgi Apparatus, Cytosol			2266620	2	
digalsgalside_hs	Digalactosylceramidesulfate	C30H55NO15SFULLRCO	-1	Extra-organism, Golgi Apparatus, Cytosol	C06127	SE: P450	47460	2	
sectrna	L-Selenocysteinyl-tRNA(Sec)	C3H6NOSeR	1	Cytosol	C06482		45266	5	
ppdima	phenol phthiocerol dimycocerosate (Mtb)	C99H188O6	0	Extra-organism, Cytosol			3115978	10	
bmnmsh	bimane conjugated mycothiol (mtb)	C27H40N4O14S	0	Cytosol			3134760	10	
forcoa	Formyl-CoA	C22H32N7O17P3S	-4	Cytosol	C00798		3200675	10	
psclys	psicoselysine	C12H25N2O7	1	Extra-organism, Cytosol, Periplasm			3241258	5	
mthgxl	Methylglyoxal	C3H4O2	0	Extra-organism, Cytosol	C00546	78-98-8	35307	1,2,5,6	
thdp	2,3,4,5-Tetrahydrodipicolinate	C7H7NO4	-2	Cytosol	C03972		42888	1,10,3,4,5,7,9	
dhpt	Dihydropteroate	C14H13N6O3	-1	Cytosol, Mitochondria	C00921		36380	1,10,3,4,5,6,7,9	
