abbreviation	name	synonyms	equation	compartment	ecnumber	reversible	translocation	internal_id	found in: 1) E. coli iJR904; 2) H. sapiens Recon 1; 3) H. pylori iIT341; 4) P. putida iJN746; 5) E. coli iAF1260; 6) S. cerevisiae iND750; 7) S. aureus iSB619; 8) E. coli textbook; 9) M. barkeri iAF692; 10) M. tuberculosis iNJ661; 	
CYO1-KT	ubiquinol---cytochrome-c reductase	coenzyme Q-cytochrome c reductase;, dihydrocoenzyme Q-cytochrome c reductase;, ubiquinone-cytochrome b-c1 oxidoreductase;, ubiquinol---cytochrome-c reductase;, ubiquinol-cytochrome c2 reductase;, CoQH2-cytochrome c oxidoreductase;, QH2:cytochrome c oxidoreductase, ubiquinol-cytochrome c oxidoreductase;, ubihydroquinol:cytochrome c oxidoreductase;, reduced ubiquinone-cytochrome c oxidoreductase;, reduced coenzyme Q-cytochrome c reductase;, ubiquinone-cytochrome c reductase;, mitochondrial electron transport complex III;, ubiquinol-cytochrome c-2 oxidoreductase;, (mitochondrial electron transport);, coenzyme QH2-cytochrome c reductase;, ubiquinone-cytochrome c oxidoreductase;, reduced ubiquinone-cytochrome c reductase, complex III, ubiquinol-cytochrome c1 oxidoreductase;	(2) ficytc[c] + (2) h[c] + q8h2[c] --> (2) focytc[c] + (2) h[p] + q8[c]	Cytosol, Periplasm	1.10.2.2	Irreversible	Y	3456701	4	
MTCMMT	Methylthiol: coenzyme M methyltransferase		[c] : com + dms --> ch4s + mcom	Cytosol		Irreversible	N	1800860	9	
DHFRim	dihydrofolate reductase, mitochondrial		[m] : dhf + h + nadph --> nadp + thf	Mitochondria	1.5.1.3	Irreversible	N	1448929	6	
TSTSTERONESULT	testosterone sulfotransferase		[c] : paps + tststerone --> h + pap + tststerones	Cytosol	2.8.2.2	Irreversible	N	2794972	2	
UMPKm	UMP kinase (mitochondrial, ATP)	CTP:CMP phosphotransferase, deoxycytidylate kinase, dCMP kinase, UMP-CMP kinase, pyrimidine nucleoside monophosphate kinase, deoxycytidine monophosphokinase, ATP:UMP-CMP phosphotransferase, CMP kinase, cytidylate kinase	[m] : atp + ump <==> adp + udp	Mitochondria	2.7.4.14	Reversible	N	2794666	2	
NADDPe	NAD diphosphatase (extracellular)		[e] : h2o + nad --> amp + (2) h + nmn	Extra-organism	3.6.1.22	Irreversible	N	1447164	1	
PHYQt	Phylloquinone transport		atp[c] + h2o[c] + phyQ[e] --> adp[c] + h[c] + phyQ[c] + pi[c]	Extra-organism, Cytosol		Irreversible	Y	2225926	2	
NAIt	Na+ / iodide cotransport		i[e] + (2) na1[e] <==> i[c] + (2) na1[c]	Extra-organism, Cytosol		Reversible	Y	2322413	2	
NDP8ex	nucleoside-diphosphatase (UTP), extracellular		[e] : h2o + utp --> h + pi + udp	Extra-organism	3.6.1.6	Irreversible	N	2273803	2	
F4D	F420 Deydrogenase		f420-2h2[c] + (1.8) h[c] + mphen[c] --> f420-2[c] + (1.8) h[e] + mphenh2[c]	Extra-organism, Cytosol		Irreversible	Y	2255697	9	
AGM3PA	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase		[c] : anhgm3p + h2o --> LalaDgluMdap + anhgm	Cytosol		Irreversible	N	2327363	5	
STS1r	Steryl-sulfatase	Steryl-sulfate sulfohydrolase, Arylsulfatase C, Steroid sulfatase, ASC	[r] : dheas + h2o --> dhea + h + so4	Endoplasmic Reticulum	3.1.6.2	Irreversible	N	2321025	2	
GLUDyi	glutamate dehydrogenase (NADP)		[c] : akg + h + nadph + nh4 --> glu-L + h2o + nadp	Cytosol	1.4.1.4	Irreversible	N	1771211	9	
KAS_HP2	3-hydroxy-octadecanoyl-ACP synthesis		[c] : (2) h + malACP + nadph + palmACP --> 3hoctaACP + ACP + co2 + nadp	Cytosol		Irreversible	N	1572506	3	
BiomassHP_published	growth demand		[c] : (0.05) 5mthf + (0.00005) accoa + (0.488) ala-L + (0.001) amp + (0.281) arg-L + (0.229) asn-L + (0.229) asp-L + (45.7318) atp + (0.000006) btn + (0.027907) clpn_HP + (0.000006) coa + (0.126) ctp + (0.087) cys-L + (0.0247) datp + (0.0254) dctp + (0.0254) dgtp + (0.0247) dttp + (0.00001) fad + (0.25) gln-L + (0.25) glu-L + (0.582) gly + (0.203) gtp + (45.5608) h2o + (0.09) his-L + (0.276) ile-L + (0.428) leu-L + (0.0084) lps_HP + (0.326) lys-L + (0.146) met-L + (0.000006) mqn6 + (0.00215) nad + (0.00005) nadh + (0.00013) nadp + (0.0004) nadph + (0.074894) pe_HP + (0.0276) peptido_EC + (0.016354) pg_HP + (0.176) phe-L + (0.000006) pheme + (0.21) pro-L + (0.003374) ps_HP + (0.035) ptrc + (0.205) ser-L + (0.007) spmd + (0.000003) succoa + (0.000006) thm + (0.241) thr-L + (0.054) trp-L + (0.131) tyr-L + (0.003) udpg + (0.136) utp + (0.402) val-L --> (45.5608) adp + (45.5608) h + (45.5628) pi + (0.7302) ppi	Cytosol		Irreversible	N	3460112	3	
pentso3abcpp	pentanesulfonate transport via ABC system (periplasm)		atp[c] + h2o[c] + pentso3[p] --> adp[c] + h[c] + pentso3[c] + pi[c]	Cytosol, Periplasm		Irreversible	Y	3461048	4	
DHCR71r	7-dehydrocholesterol reductase	Putative sterol reductase SR-2, Sterol delta-7-reductase, 7-DHC reductase	[r] : ddsmsterol + h + nadph --> dsmsterol + nadp	Endoplasmic Reticulum	1.3.1.21	Irreversible	N	2207851	2	
PSDm_hs	Phosphatidylserine decarboxylase		[m] : h + ps_hs --> co2 + pe_hs	Mitochondria	4.1.1.65	Irreversible	N	2305432	2	
FAH1	Fatty acid omega-hydroxylase	Cytochrome P450	[c] : ddca + h + nadph + o2 --> h2o + nadp + whddca	Cytosol		Irreversible	N	2304732	2	
HEPT2	heptosyltransferase II (LPS core synthesis)		[c] : adphep-LD + hlipa --> adp + h + hhlipa	Cytosol		Irreversible	N	2374869	5	
ACYP_2	acylphosphatase (2)		[c] : actp + h2o --> ac + h + pi	Cytosol	3.6.1.7	Irreversible	N	1788597	7,9	
